Name,is Veg,Category,Price,Comments
gobi 65,1,veg starters,₹169.00,"AAAA,AAA,aA"
chilli gobi,1,veg starters,₹169.00,
crispy schezwan gobi,1,veg starters,₹179.00,
panner 65,1,veg starters,₹179.00,
chilli paneer,1,veg starters,₹179.00,
panner manchuria,1,veg starters,₹179.00,
schezwan panner,1,veg starters,₹179.00,
gobi manchuria,1,veg starters,₹169.00,
chilli baby corn,1,veg starters,₹179.00,
baby corn 65,1,veg starters,₹179.00,
mushroom 65,1,veg starters,₹179.00,
chilli mushroom,1,veg starters,₹179.00,
mushroom manchuria,1,veg starters,₹179.00,
veg dumplings,1,veg starters,₹189.00,
panner dumplings,1,veg starters,₹189.00,
schezwan dumplings,1,veg starters,₹189.00,
chicken 65,0,non veg starters,₹199.00,
chilli chicken,0,non veg starters,₹199.00,
chicken manchuria,0,non veg starters,₹99.00,
schezwan chicken,0,non veg starters,₹209.00,
sesame chicken,0,non veg starters,₹219.00,
chicken 555,0,non veg starters,₹209.00,
chicken lollipop,0,non veg starters,₹209.00,
chicken drumsticks,0,non veg starters,₹209.00,
pepper chicken,0,non veg starters,₹199.00,
hongkong chicken,0,non veg starters,₹209.00,
agraki chicken,0,non veg starters,₹199.00,
lemon chicken,0,non veg starters,₹209.00,
fried chicken,0,non veg starters,₹219.00,
kaju chicken pakoda,0,non veg starters,₹219.00,
sweet chilli chicken,0,non veg starters,₹209.00,
spicy kaju chicken,0,non veg starters,₹219.00,
chicken kheema balls ,0,non veg starters,₹219.00,
teriyaki chicken,0,non veg starters,₹209.00,
chicken wings,0,non veg starters,₹209.00,
dragon chicken,0,non veg starters,₹209.00,
schezwan fried chicken,0,non veg starters,₹219.00,spl
"parota,egg bhurji",0,parota,₹99.00,
"parota,panner masala",1,parota,₹109.00,
"parota,kadai panner",1,parota,₹109.00,
"parota, palak panner",1,parota,₹99.00,
"parota,mushroom masala",1,parota,₹109.00,
"parota,kadai chicken",0,parota,₹139.00,
"parota,butter chicken",0,parota,₹149.00,
"parota,andhra chicken [bone]",0,parota,₹139.00,
"parota,andhra chicken [bl]",0,parota,₹149.00,
"parota,dahi chicken",0,parota,₹139.00,
parota,1,parota,25,
kadai veg,1,veg main course,₹179.00,
veg jalfrezi,1,veg main course,₹189.00,
panner butter masala,1,veg main course,₹199.00,
kadai panner,1,veg main course,₹199.00,
kaju panner,1,veg main course,₹209.00,
panner bhurji,1,veg main course,₹199.00,
mushroom masala,1,veg main course,₹199.00,
Sarson ka veg,1,veg main course,₹189.00,
chilli milli veg,1,veg main course,₹189.00,
kaju masala,1,veg main course,₹199.00,
andhra chicken curry  [b&bl],0,non veg main course,₹219.00,
butter chicken,0,non veg main course,₹229.00,
kadai chicken,0,non veg main course,₹219.00,
chicken do pyaza,0,non veg main course,₹219.00,
moghalai chicken,0,non veg main course,₹229.00,
punjabi chicken,0,non veg main course,₹229.00,
chettinadu chicken,0,non veg main course,₹219.00,
andhra chicken fry,0,non veg main course,₹229.00,
karivepaku chicken fry,0,non veg main course,₹229.00,
chicken noorani,0,non veg main course,₹229.00,
chicken iguru,0,non veg main course,₹219.00,
home style omlet,0,omlets,₹79.00,
white omlet,0,omlets,₹89.00,
itilian omlet,0,omlets,₹89.00,
mushroom omlet,0,omlets,₹89.00,
bellpepper omlet,0,omlets,₹89.00,
onion tomato omlet,0,omlets,₹89.00,
cheese omlet,0,omlets,₹99.00,
fluffy omlet,0,omlets,₹99.00,
biryani rice,1,BIRYANI&PULAV,₹159.00,
veg pulav,1,BIRYANI&PULAV,₹159.00,
jeera pulav,1,BIRYANI&PULAV,₹169.00,
mushroom biryani,1,BIRYANI&PULAV,₹189.00,
panner biryani,1,BIRYANI&PULAV,₹189.00,
spl panner biryani,1,BIRYANI&PULAV,₹199.00,
egg biryani,0,BIRYANI&PULAV,₹199.00,
spl egg biryani,0,BIRYANI&PULAV,₹209.00,
chicken dum biryani,0,BIRYANI&PULAV,209/249/380/560,
chicken fry piece biryani,0,BIRYANI&PULAV,219/269/400/580,
spl chicken biryani,0,BIRYANI&PULAV,229/289/420/590,
lollipop biryani,0,BIRYANI&PULAV,229/289/420/590,
moghalai biryani,0,BIRYANI&PULAV,239/299/420/590,
foodezee spl biryani,0,BIRYANI&PULAV,239/299/420/590,
veg fried rice ,1,rice & noodles,₹149.00,
schezwan veg fried rice,1,rice & noodles,₹159.00,
spl veg fried rice,1,rice & noodles,₹169.00,
panner fried rice,1,rice & noodles,₹159.00,
 mushroom fried rice,1,rice & noodles,₹159.00,
baby corn fried rice,1,rice & noodles,₹159.00,
schezwan panner fried rice,1,rice & noodles,₹169.00,
egg fried rice,0,rice & noodles,₹159.00,
spl egg fried rice,0,rice & noodles,₹169.00,
chicken fried rice,0,rice & noodles,₹169.00,
spl chicken fried rice,0,rice & noodles,₹179.00,
schezwan chicken fried rice,0,rice & noodles,₹179.00,
garlic chicken fried rice,0,rice & noodles,₹179.00,
fried chicken fried rice,0,rice & noodles,₹179.00,
veg noodles,1,rice & noodles,₹149.00,
schezwan veg noodles,1,rice & noodles,₹159.00,
indonesian veg noodles,1,rice & noodles,₹159.00,
egg noodles,0,rice & noodles,₹159.00,
chicken noodles,0,rice & noodles,₹169.00,
schezwan chicken noodles,0,rice & noodles,₹179.00,
indonesian chicken noodles,0,rice & noodles,₹179.00,